feature_count,trial,objective,macro_pr_auc,worst_dataset_pr_auc,constraints_met,params
40,13,0.7080341651263876,0.6076489486660027,0.5019260823019243,False,"{""colsample_bytree"": 0.8643422901169147, ""learning_rate"": 0.015442465562689654, ""max_depth"": 6, ""min_child_samples"": 58, ""num_leaves"": 15, ""reg_alpha"": 0.008853068460952204, ""reg_lambda"": 0.0010308840481834292, ""subsample"": 0.9924856651798992}"
40,14,0.7696725204189773,0.6502982218140062,0.5968714930248551,False,"{""colsample_bytree"": 0.7213785203554232, ""learning_rate"": 0.021848842333376084, ""max_depth"": 4, ""min_child_samples"": 130, ""num_leaves"": 27, ""reg_alpha"": 0.0030385687558382073, ""reg_lambda"": 0.27937368675565355, ""subsample"": 0.8185966909603806}"
40,15,0.7708277531106718,0.6538101339973377,0.5850880955666706,False,"{""colsample_bytree"": 0.8410498578177971, ""learning_rate"": 0.027847343990978102, ""max_depth"": 5, ""min_child_samples"": 96, ""num_leaves"": 23, ""reg_alpha"": 0.03098982594118557, ""reg_lambda"": 0.010305908246006508, ""subsample"": 0.8725442166323173}"
40,16,0.7703008238957291,0.6531393237104641,0.5858075009263245,False,"{""colsample_bytree"": 0.6710012703694513, ""learning_rate"": 0.020380362077734443, ""max_depth"": 4, ""min_child_samples"": 105, ""num_leaves"": 15, ""reg_alpha"": 0.001038680481977546, ""reg_lambda"": 0.0027324666856139565, ""subsample"": 0.9434333366906009}"
40,17,0.7719938335596022,0.653822879296793,0.5908547713140457,False,"{""colsample_bytree"": 0.7413737643069498, ""learning_rate"": 0.04573723466956163, ""max_depth"": 6, ""min_child_samples"": 131, ""num_leaves"": 31, ""reg_alpha"": 0.06454470411694334, ""reg_lambda"": 0.05792469361830426, ""subsample"": 0.8159504254091029}"
40,18,0.7427039113001047,0.629807410831703,0.5644825023420086,False,"{""colsample_bytree"": 0.8027105027486668, ""learning_rate"": 0.015079516875983797, ""max_depth"": 4, ""min_child_samples"": 63, ""num_leaves"": 27, ""reg_alpha"": 0.007469561029143521, ""reg_lambda"": 0.8833865436266509, ""subsample"": 0.9108946951169371}"
40,19,0.783668510379026,0.6631983758192879,0.6023506727986903,False,"{""colsample_bytree"": 0.6444579308624421, ""learning_rate"": 0.028695933146460434, ""max_depth"": 5, ""min_child_samples"": 116, ""num_leaves"": 21, ""reg_alpha"": 0.002957288188977737, ""reg_lambda"": 0.01365797987161069, ""subsample"": 0.9498669840845959}"
40,20,0.7365121584294206,0.633427260284242,0.515424490725893,False,"{""colsample_bytree"": 0.6936769751828671, ""learning_rate"": 0.06830142350146226, ""max_depth"": 7, ""min_child_samples"": 115, ""num_leaves"": 22, ""reg_alpha"": 0.002291796542583398, ""reg_lambda"": 0.002374673888860906, ""subsample"": 0.9579340834901041}"
40,21,0.7758324592238068,0.6556557361065257,0.6008836155864055,False,"{""colsample_bytree"": 0.6418195337360243, ""learning_rate"": 0.027511468097527476, ""max_depth"": 5, ""min_child_samples"": 97, ""num_leaves"": 15, ""reg_alpha"": 0.005238522347742691, ""reg_lambda"": 0.011664056678100046, ""subsample"": 0.8816148361709722}"
40,22,0.7445985909743281,0.6354818260985217,0.5455838243790323,False,"{""colsample_bytree"": 0.6034808164882888, ""learning_rate"": 0.032814939997217726, ""max_depth"": 6, ""min_child_samples"": 143, ""num_leaves"": 17, ""reg_alpha"": 0.01466340386046425, ""reg_lambda"": 0.023507416007099748, ""subsample"": 0.9292336659332971}"
